element_kind,element_id,name,mode,pre_path_count_all,post_path_count_all,delta_path_count_all,abs_delta_path_count_all,pre_path_count_changed_od,post_path_count_changed_od,delta_path_count_changed_od,abs_delta_path_count_changed_od,link_type,route_id,service_no,line_name,from_node,to_node,from_name,to_name,time_min,distance_m
run_segment,MRTRUN::CC30->CC31,MRTRUN::CC30->CC31,mrt,0,4246,4246,4246,0,4246,4246,4246,mrt_run,CCL_RING,CCL,Circle Line,CC30,CC31,Keppel,Cantonment,2.0,
run_segment,MRTRUN::CC29->CC30,MRTRUN::CC29->CC30,mrt,0,3854,3854,3854,0,3854,3854,3854,mrt_run,CCL_RING,CCL,Circle Line,CC29,CC30,HarbourFront,Keppel,2.0,
run_segment,MRTRUN::CC31->CC32,MRTRUN::CC31->CC32,mrt,0,3854,3854,3854,0,3854,3854,3854,mrt_run,CCL_RING,CCL,Circle Line,CC31,CC32,Cantonment,Prince Edward Road,2.0,
run_segment,MRTRUN::CC32->CE2,MRTRUN::CC32->CE2,mrt,0,2402,2402,2402,0,2402,2402,2402,mrt_run,CCL_RING,CCL,Circle Line,CC32,CE2,Prince Edward Road,Marina Bay,2.0,
run_segment,MRTRUN::CC28->CC29,MRTRUN::CC28->CC29,mrt,2154,4125,1971,1971,1709,3680,1971,1971,mrt_run,CCL_1,CCL,Circle Line,CC28,CC29,Telok Blangah,HarbourFront,2.0,
run_segment,MRTRUN::EW16->EW15,MRTRUN::EW16->EW15,mrt,4548,2753,-1795,1795,1797,2,-1795,1795,mrt_run,EWL_2,EWL,East-West Line,EW16,EW15,Outram Park,Tanjong Pagar,1.0,
run_segment,MRTRUN::CC27->CC28,MRTRUN::CC27->CC28,mrt,1713,3446,1733,1733,1352,3085,1733,1733,mrt_run,CCL_1,CCL,Circle Line,CC27,CC28,Labrador Park,Telok Blangah,1.0,
run_segment,MRTRUN::NE1->NE3,MRTRUN::NE1->NE3,mrt,2460,733,-1727,1727,1729,2,-1727,1727,mrt_run,NEL_1,NEL,North East Line,NE1,NE3,HarbourFront,Outram Park,4.0,
run_segment,MRTRUN::CE2->CE1,MRTRUN::CE2->CE1,mrt,57,1666,1609,1609,54,1663,1609,1609,mrt_run,CCLe_2,CCLe,Circle Line Extension,CE2,CE1,Marina Bay,Bayfront,1.0,
run_segment,MRTRUN::CC26->CC27,MRTRUN::CC26->CC27,mrt,1269,2808,1539,1539,991,2530,1539,1539,mrt_run,CCL_1,CCL,Circle Line,CC26,CC27,Pasir Panjang,Labrador Park,2.0,
run_segment,MRTRUN::CC25->CC26,MRTRUN::CC25->CC26,mrt,329,1643,1314,1314,211,1525,1314,1314,mrt_run,CCL_1,CCL,Circle Line,CC25,CC26,Haw Par Villa,Pasir Panjang,2.0,
run_segment,MRTRUN::CC23->CC22,MRTRUN::CC23->CC22,mrt,2824,1582,-1242,1242,1242,0,-1242,1242,mrt_run,CCL_2,CCL,Circle Line,CC23,CC22,one-north,Buona Vista,1.0,
run_segment,MRTRUN::CC24->CC23,MRTRUN::CC24->CC23,mrt,2821,1582,-1239,1239,1239,0,-1239,1239,mrt_run,CCL_2,CCL,Circle Line,CC24,CC23,Kent Ridge,one-north,1.0,
run_segment,MRTRUN::EW17->EW16,MRTRUN::EW17->EW16,mrt,3824,2654,-1170,1170,1170,0,-1170,1170,mrt_run,EWL_2,EWL,East-West Line,EW17,EW16,Tiong Bahru,Outram Park,2.0,
run_segment,MRTRUN::EW18->EW17,MRTRUN::EW18->EW17,mrt,3484,2372,-1112,1112,1112,0,-1112,1112,mrt_run,EWL_2,EWL,East-West Line,EW18,EW17,Redhill,Tiong Bahru,2.0,
run_segment,MRTRUN::EW19->EW18,MRTRUN::EW19->EW18,mrt,3065,2044,-1021,1021,1021,0,-1021,1021,mrt_run,EWL_2,EWL,East-West Line,EW19,EW18,Queenstown,Redhill,2.0,
run_segment,MRTRUN::EW20->EW19,MRTRUN::EW20->EW19,mrt,2817,1836,-981,981,981,0,-981,981,mrt_run,EWL_2,EWL,East-West Line,EW20,EW19,Commonwealth,Queenstown,2.0,
run_segment,MRTRUN::EW21->EW20,MRTRUN::EW21->EW20,mrt,2817,1836,-981,981,981,0,-981,981,mrt_run,EWL_2,EWL,East-West Line,EW21,EW20,Buona Vista,Commonwealth,1.0,
run_segment,MRTRUN::NE3->NE4,MRTRUN::NE3->NE4,mrt,1076,313,-763,763,763,0,-763,763,mrt_run,NEL_1,NEL,North East Line,NE3,NE4,Outram Park,Chinatown,1.0,
run_segment,MRTRUN::DT19->DT18,MRTRUN::DT19->DT18,mrt,720,39,-681,681,681,0,-681,681,mrt_run,DTL_2,DTL,Downtown Line,DT19,DT18,Chinatown,Telok Ayer,1.0,
run_segment,MRTRUN::CE1->CC4,MRTRUN::CE1->CC4,mrt,0,666,666,666,0,666,666,666,mrt_run,CCLe_2,CCLe,Circle Line Extension,CE1,CC4,Bayfront,Promenade,2.0,
run_segment,MRTRUN::CC24->CC25,MRTRUN::CC24->CC25,mrt,34,692,658,658,34,692,658,658,mrt_run,CCL_1,CCL,Circle Line,CC24,CC25,Kent Ridge,Haw Par Villa,2.0,
run_segment,MRTRUN::EW15->EW14,MRTRUN::EW15->EW14,mrt,2147,1502,-645,645,645,0,-645,645,mrt_run,EWL_2,EWL,East-West Line,EW15,EW14,Tanjong Pagar,Raffles Place,2.0,
run_segment,MRTRUN::DT18->DT17,MRTRUN::DT18->DT17,mrt,654,39,-615,615,615,0,-615,615,mrt_run,DTL_2,DTL,Downtown Line,DT18,DT17,Telok Ayer,Downtown,1.0,
run_segment,MRTRUN::CC4->CC5,MRTRUN::CC4->CC5,mrt,0,571,571,571,0,571,571,571,mrt_run,CCL_1,CCL,Circle Line,CC4,CC5,Promenade,Nicoll Highway,1.0,
