element_kind,element_id,name,mode,pre_path_count_all,post_path_count_all,delta_path_count_all,abs_delta_path_count_all,pre_path_count_changed_od,post_path_count_changed_od,delta_path_count_changed_od,abs_delta_path_count_changed_od,representative_node_id,station_codes,line_names,service_nos
mrt_station,MRTHUB::Keppel,Keppel,mrt,0,4248,4248,4248,0,4248,4248,4248,CC30,['CC30'],['Circle Line'],
mrt_station,MRTHUB::Cantonment,Cantonment,mrt,0,4246,4246,4246,0,4246,4246,4246,CC31,['CC31'],['Circle Line'],
mrt_station,MRTHUB::Prince_Edward_Road,Prince Edward Road,mrt,0,3854,3854,3854,0,3854,3854,3854,CC32,['CC32'],['Circle Line'],
mrt_station,MRTHUB::Outram_Park,Outram Park,mrt,6528,3477,-3051,3051,3053,2,-3051,3051,EW16,['EW16'],['East-West Line'],
mrt_station,MRTHUB::Marina_Bay,Marina Bay,mrt,297,2439,2142,2142,260,2402,2142,2142,CE2,['CE2'],['Circle Line Extension'],
mrt_station,MRTHUB::HarbourFront,HarbourFront,mrt,2601,4587,1986,1986,1870,3856,1986,1986,CC29,['CC29'],['Circle Line'],
mrt_station,MRTHUB::Telok_Blangah,Telok Blangah,mrt,2154,4125,1971,1971,1709,3680,1971,1971,CC28,['CC28'],['Circle Line'],
mrt_station,MRTHUB::Tanjong_Pagar,Tanjong Pagar,mrt,4626,2768,-1858,1858,1860,2,-1858,1858,EW15,['EW15'],['East-West Line'],
mrt_station,MRTHUB::Labrador_Park,Labrador Park,mrt,1713,3446,1733,1733,1352,3085,1733,1733,CC27,['CC27'],['Circle Line'],
mrt_station,MRTHUB::Pasir_Panjang,Pasir Panjang,mrt,1269,2808,1539,1539,991,2530,1539,1539,CC26,['CC26'],['Circle Line'],
mrt_station,MRTHUB::Buona_Vista,Buona Vista,mrt,3201,1880,-1321,1321,1323,2,-1321,1321,EW21,['EW21'],['East-West Line'],
mrt_station,MRTHUB::one-north,one-north,mrt,2824,1584,-1240,1240,1242,2,-1240,1240,CC23,['CC23'],['Circle Line'],
mrt_station,MRTHUB::Tiong_Bahru,Tiong Bahru,mrt,3824,2654,-1170,1170,1170,0,-1170,1170,EW17,['EW17'],['East-West Line'],
mrt_station,MRTHUB::Redhill,Redhill,mrt,3484,2372,-1112,1112,1112,0,-1112,1112,EW18,['EW18'],['East-West Line'],
mrt_station,MRTHUB::Queenstown,Queenstown,mrt,3065,2044,-1021,1021,1021,0,-1021,1021,EW19,['EW19'],['East-West Line'],
mrt_station,MRTHUB::Commonwealth,Commonwealth,mrt,2817,1836,-981,981,981,0,-981,981,EW20,['EW20'],['East-West Line'],
mrt_station,MRTHUB::Bayfront,Bayfront,mrt,777,1723,946,946,717,1663,946,946,CE1,['CE1'],['Circle Line Extension'],
mrt_station,MRTHUB::Haw_Par_Villa,Haw Par Villa,mrt,1166,1993,827,827,698,1525,827,827,MRTHUB::Haw_Par_Villa,['CC25'],['Circle Line'],
mrt_station,MRTHUB::Bugis,Bugis,mrt,2046,1222,-824,824,824,0,-824,824,EW12,['EW12'],['East-West Line'],
mrt_station,MRTHUB::Chinatown,Chinatown,mrt,1103,318,-785,785,785,0,-785,785,NE4,['NE4'],['North East Line'],
mrt_station,MRTHUB::Telok_Ayer,Telok Ayer,mrt,740,39,-701,701,701,0,-701,701,DT18,['DT18'],['Downtown Line'],
bus_stop,14069,Former Railway Stn,bus,1416,785,-631,631,631,0,-631,631,10_2::#27::14069,,,['10']
mrt_station,MRTHUB::Kent_Ridge,Kent Ridge,mrt,2855,2274,-581,581,1273,692,-581,581,MRTHUB::Kent_Ridge,['CC24'],['Circle Line'],
mrt_station,MRTHUB::Raffles_Place,Raffles Place,mrt,2147,1570,-577,577,645,68,-577,577,EW14,['EW14'],['East-West Line'],
bus_stop,14089,Opp Tg Pagar DP Blk F5,bus,1323,748,-575,575,582,7,-575,575,10_2::#26::14089,,,['10']
mrt_station,MRTHUB::Dakota,Dakota,mrt,0,571,571,571,0,571,571,571,CC8,['CC8'],['Circle Line'],
mrt_station,MRTHUB::Mountbatten,Mountbatten,mrt,0,571,571,571,0,571,571,571,CC7,['CC7'],['Circle Line'],
mrt_station,MRTHUB::Nicoll_Highway,Nicoll Highway,mrt,0,571,571,571,0,571,571,571,CC5,['CC5'],['Circle Line'],
mrt_station,MRTHUB::Stadium,Stadium,mrt,0,571,571,571,0,571,571,571,CC6,['CC6'],['Circle Line'],
bus_stop,05641,Bef Cantonment Rd,bus,1303,756,-547,547,547,0,-547,547,10_2::#28::05641,,,['10']
mrt_station,MRTHUB::Downtown,Downtown,mrt,741,204,-537,537,660,123,-537,537,DT17,['DT17'],['Downtown Line'],
bus_stop,14119,Opp VivoCity,bus,1213,695,-518,518,518,0,-518,518,10_2::#24::14119,,,['10']
mrt_station,MRTHUB::Maxwell,Maxwell,mrt,1020,508,-512,512,534,22,-512,512,TE18,['TE18'],['Thomson-East Coast Line'],
bus_stop,14109,Keppel DP Blk 517,bus,1185,697,-488,488,495,7,-488,488,10_2::#25::14109,,,['10']
mrt_station,MRTHUB::City_Hall,City Hall,mrt,1662,1180,-482,482,482,0,-482,482,EW13,['EW13'],['East-West Line'],
mrt_station,MRTHUB::Aljunied,Aljunied,mrt,1632,1165,-467,467,467,0,-467,467,EW9,['EW9'],['East-West Line'],
mrt_station,MRTHUB::Kallang,Kallang,mrt,1632,1165,-467,467,467,0,-467,467,EW10,['EW10'],['East-West Line'],
mrt_station,MRTHUB::Lavender,Lavender,mrt,1632,1165,-467,467,467,0,-467,467,EW11,['EW11'],['East-West Line'],
bus_stop,14129,HarbourFront Stn Exit A,bus,1046,663,-383,383,383,0,-383,383,10_2::#23::14129,,,['10']
mrt_station,MRTHUB::Shenton_Way,Shenton Way,mrt,705,351,-354,354,520,166,-354,354,TE19,['TE19'],['Thomson-East Coast Line'],
bus_stop,03223,Tanjong Pagar Stn Exit C,bus,588,934,346,346,217,563,346,346,BUSSTOP_IN::03223,,,"['131', '167', '186', '400', '57', '673', '675', '676', '677', '678', '679', '970']"
mrt_station,MRTHUB::Botanic_Gardens,Botanic Gardens,mrt,384,42,-342,342,342,0,-342,342,CC19,['CC19'],['Circle Line'],
mrt_station,MRTHUB::Farrer_Road,Farrer Road,mrt,384,42,-342,342,342,0,-342,342,CC20,['CC20'],['Circle Line'],
mrt_station,MRTHUB::Holland_Village,Holland Village,mrt,384,42,-342,342,342,0,-342,342,CC21,['CC21'],['Circle Line'],
mrt_station,MRTHUB::Little_India,Little India,mrt,384,42,-342,342,342,0,-342,342,DT12,['DT12'],['Downtown Line'],
mrt_station,MRTHUB::Newton,Newton,mrt,384,42,-342,342,342,0,-342,342,DT11,['DT11'],['Downtown Line'],
mrt_station,MRTHUB::Rochor,Rochor,mrt,384,42,-342,342,342,0,-342,342,DT13,['DT13'],['Downtown Line'],
mrt_station,MRTHUB::Stevens,Stevens,mrt,384,42,-342,342,342,0,-342,342,DT10,['DT10'],['Downtown Line'],
bus_stop,14139,Bef Seah Im Rd,bus,923,593,-330,330,330,0,-330,330,10_2::#22::14139,,,['10']
mrt_station,MRTHUB::Promenade,Promenade,mrt,414,723,309,309,357,666,309,309,DT15,['DT15'],['Downtown Line'],
bus_stop,05631,Blk 16,bus,113,421,308,308,84,392,308,308,BUSSTOP_IN::05631,,,"['121', '167', '196', '80']"
bus_stop,10017,Aft Hosp Dr,bus,898,601,-297,297,297,0,-297,297,197_2::#26::10017,,,['197']
bus_stop,10049,Opp Kampong Bahru Ter,bus,898,601,-297,297,297,0,-297,297,197_2::#25::10049,,,['197']
bus_stop,14159,Hotel Faber Pk,bus,822,544,-278,278,321,43,-278,278,10_2::#21::14159,,,['10']
bus_stop,14169,Opp Telok Blangah Stn,bus,596,318,-278,278,278,0,-278,278,10_2::#20::14169,,,['10']
bus_stop,10391,Opp Melati Blk 2,bus,603,341,-262,262,262,0,-262,262,124_2::#16::10391,,,['124']
bus_stop,14229,Ch of St. Teresa,bus,603,341,-262,262,262,0,-262,262,124_2::#15::14229,,,['124']
bus_stop,03111,Aft Capital Twr,bus,1150,903,-247,247,391,144,-247,247,10_2::#30::03111,,,['10']
bus_stop,03071,80 Robinson Rd,bus,858,625,-233,233,329,96,-233,233,10_2::#31::03071,,,['10']
bus_stop,14179,Yeo's Bldg,bus,479,254,-225,225,225,0,-225,225,10_2::#19::14179,,,['10']
bus_stop,03222,Hub Synergy Pt,bus,910,698,-212,212,294,82,-212,212,10_2::#29::03222,,,['10']
bus_stop,14189,Aft Alexandra Rd,bus,427,222,-205,205,205,0,-205,205,10_2::#18::14189,,,['10']
bus_stop,03391,Marina Bay Financial Ctr,bus,486,284,-202,202,281,79,-202,202,106_2::#6::03391,,,['106']
bus_stop,03151,Aft Telok Ayer St,bus,743,943,200,200,253,453,200,200,131_2::#21::03151,,,['131']
bus_stop,15149,Opp Labrador Pk Stn,bus,292,112,-180,180,180,0,-180,180,10_2::#17::15149,,,['10']
bus_stop,15159,Mapletree Business City,bus,274,102,-172,172,172,0,-172,172,10_2::#16::15159,,,['10']
bus_stop,05629,Opp Southpoint,bus,650,813,163,163,229,392,163,163,80_2::#8::05629,,,['80']
bus_stop,15169,HarbourSide Bldg 2,bus,240,92,-148,148,148,0,-148,148,10_2::#15::15169,,,['10']
bus_stop,03539,Marina Bay Stn,bus,196,343,147,147,179,326,147,147,BUSSTOP_IN::03539,,,"['106', '133', '400', '502', '502A', '513', '651', '653', '654', '655', '657', '661', '666', '667', '668', '670', '671', '672', '673', '674', '675', '676', '677', '678', '679', '97', '97e', '982E']"
bus_stop,03381,The Sail,bus,620,474,-146,146,310,164,-146,146,106_2::#5::03381,,,['106']
bus_stop,05519,Blk 1G,bus,537,392,-145,145,145,0,-145,145,121_1::#40::05519,,,['121']
bus_stop,05539,Opp Police Cantonment Cplx,bus,537,392,-145,145,145,0,-145,145,BUSSTOP_IN::05539,,,"['121', '167', '196']"
bus_stop,03241,Aft Enggor St,bus,198,342,144,144,168,312,144,144,BUSSTOP_IN::03241,,,"['651', '652', '653', '654', '655', '656', '657', '660', '660M', '661', '663', '665', '666', '667', '668', '670', '671', '672', '674']"
bus_stop,14239,Opp Keppel DP Blk 519,bus,412,285,-127,127,127,0,-127,127,124_2::#14::14239,,,['124']
bus_stop,15199,Opp Currency Hse,bus,200,77,-123,123,123,0,-123,123,10_2::#14::15199,,,['10']
bus_stop,10018,Outram Pk Stn Exit 6/SGH,bus,328,213,-115,115,115,0,-115,115,197_2::#27::10018,,,['197']
bus_stop,16049,Whitehaven,bus,416,523,107,107,215,322,107,107,10_2::#6::16049,,,['10']
bus_stop,16059,Jamiyah Halfway Hse,bus,322,429,107,107,167,274,107,107,10_2::#5::16059,,,['10']
mrt_station,MRTHUB::Fort_Canning,Fort Canning,mrt,135,30,-105,105,105,0,-105,105,DT20,['DT20'],['Downtown Line'],
