station_id,station_name,is_new_in_post,is_removed_in_post,is_interchange,station_codes,line_names,lat,lon,betweenness_pre,betweenness_post,betweenness_delta,closeness_pre,closeness_post,closeness_delta,out_degree_pre,out_degree_post,in_degree_pre,in_degree_post,betweenness_delta_rank_desc,closeness_delta_rank_desc
CC32,Prince Edward Road,True,False,False,CC32,Circle Line,1.273288075861739,103.84739661653211,,0.01724138,,,0.06207192,,,2,,2,,
CC31,Cantonment,True,False,False,CC31,Circle Line,1.273113045942889,103.83706882494067,,0.0065613,,,0.05628882,,,2,,2,,
CC30,Keppel,True,False,False,CC30,Circle Line,1.27041408591568,103.83064917121321,,0.00292146,,,0.05420561,,,2,,2,,
CE2,Marina Bay,False,False,True,CE2|NS27|TE20,Circle Line Extension|North-South Line|Thomson-East Coast Line,1.275451160751061,103.85513069011677,0.14145464,0.16571862,0.02426398,0.06893204,0.06998069,0.00104865,5,6,5,6,1,1
EW14,Raffles Place,False,False,True,EW14|NS26,East-West Line|North-South Line,1.2837037810256355,103.8514146762947,0.11911255,0.13410942,0.01499687,0.07135678,0.0723192,0.00096242,3,3,3,3,2,2
EW13,City Hall,False,False,True,EW13|NS25,East-West Line|North-South Line,1.2932059256953405,103.85244081320343,0.20107239,0.21222245,0.01115006,0.07438449,0.0752465,0.00086201,3,3,3,3,3,7
CC29,HarbourFront,False,False,True,CC29|NE1,Circle Line|North East Line,1.2654106664124478,103.82149962821518,0.03194819,0.04107599,0.0091278,0.05695949,0.05788423,0.00092474,2,3,2,3,4,5
CC28,Telok Blangah,False,False,False,CC28,Circle Line,1.2707212262114045,103.80988373092025,0.02395698,0.0278576,0.00390062,0.05334335,0.05410448,0.00076113,2,2,2,2,5,14
CC27,Labrador Park,False,False,False,CC27,Circle Line,1.2721069580543352,103.80235555366292,0.0182133,0.02206258,0.00384928,0.05222508,0.05291971,0.00069463,2,2,2,2,6,20
CC26,Pasir Panjang,False,False,False,CC26,Circle Line,1.276003232785054,103.79203018692041,0.01491692,0.0186143,0.00369738,0.05075054,0.05132743,0.00057689,2,2,2,2,7,33
CC25,Haw Par Villa,False,False,False,CC25,Circle Line,1.2830552735417646,103.7820063970724,0.01608231,0.01944444,0.00336213,0.05089606,0.0513638,0.00046774,2,2,2,2,8,42
CC24,Kent Ridge,False,False,False,CC24,Circle Line,1.2934868977315543,103.78457515889197,0.02483934,0.02755428,0.00271494,0.05484743,0.05517504,0.00032761,2,2,2,2,9,54
CC1,Dhoby Ghaut,False,False,True,CC1|NE6|NS24,Circle Line|North East Line|North-South Line,1.2994107088527833,103.84550168866954,0.22215444,0.22477536,0.00262092,0.07597646,0.07671958,0.00074312,5,5,5,5,10,19
TE19,Shenton Way,False,False,False,TE19,Thomson-East Coast Line,1.2774705811450466,103.85093581007625,0.04207039,0.04423691,0.00216652,0.06704438,0.06797937,0.00093499,2,2,2,2,11,3
CC23,one-north,False,False,False,CC23,Circle Line,1.2997940981732037,103.78754638481149,0.03792495,0.0399106,0.00198565,0.05777055,0.05802321,0.00025266,2,2,2,2,12,57
TE16,Havelock,False,False,False,TE16,Thomson-East Coast Line,1.2884384467211425,103.83373395793535,0.04759051,0.04951423,0.00192372,0.06923452,0.06998069,0.00074617,2,2,2,2,13,17
TE18,Maxwell,False,False,False,TE18,Thomson-East Coast Line,1.2807150714114806,103.8439920594266,0.04397829,0.04587484,0.00189655,0.06768351,0.06855792,0.00087441,2,2,2,2,14,6
EW16,Outram Park,False,False,True,EW16|NE3|TE17,East-West Line|North East Line|Thomson-East Coast Line,1.280728280859196,103.83907654709711,0.165927,0.16779329,0.00186629,0.07071713,0.0715696,0.00085247,6,6,6,6,15,8
CE1,Bayfront,False,False,True,CE1|DT16,Circle Line Extension|Downtown Line,1.282089309786341,103.85920456548351,0.02507599,0.0268872,0.00181121,0.06623134,0.06716072,0.00092938,3,3,3,3,16,4
TE15,Great World,False,False,False,TE15,Thomson-East Coast Line,1.294296204091656,103.83309156886823,0.05075369,0.05226008,0.00150639,0.07068193,0.07132317,0.00064124,2,2,2,2,17,27
