destination_id,destination_label,group_raw,group_major,mean_saving_min,median_saving_min,share_improved,n_origins,lon,lat
BUSSTOP_OUT::95011,AFT AIRCRAFT FLYOVER,airport_bus,Airport-bound,0.292,0.0,0.331633,196,103.9836085,1.3461185
BUSSTOP_OUT::95019,AFT CHANGI AIRPORT TER 2,airport_bus,Airport-bound,0.54,0.0,0.321429,196,103.984849,1.3479795
BUSSTOP_OUT::95151,AIRPORT POLICE STN,airport_bus,Airport-bound,0.292,0.0,0.331633,196,103.98181795541137,1.34209640049942
BUSSTOP_OUT::95029,CHANGI AIRPORT TER 1,airport_bus,Airport-bound,0.54,0.0,0.321429,196,103.990755,1.361112
BUSSTOP_OUT::95129,CHANGI AIRPORT TER 2,airport_bus,Airport-bound,0.54,0.0,0.321429,196,103.9886445,1.355328
BUSSTOP_OUT::95109,CHANGI AIRPORT TER 3,airport_bus,Airport-bound,0.54,0.0,0.321429,196,103.987161,1.3573765
BUSSTOP_OUT::95209,CHANGI AIRPORT TER 4,airport_bus,Airport-bound,0.54,0.0,0.321429,196,103.98206408704047,1.33899412275069
MRTHUB::Changi_Airport,Changi Airport,airport_mrt,Airport-bound,0.54,0.0,0.321429,196,103.98829061110587,1.356780838532488
BUSSTOP_OUT::95159,NEAR SATS FLIGHT KITCHEN,airport_bus,Airport-bound,0.54,0.0,0.321429,196,103.981954,1.341239
BUSSTOP_OUT::03511,AFT BAYFRONT STN EXIT E,cbd_bus,CBD-bound,3.557,2.908,0.765306,196,103.85897064872482,1.28194779470571
BUSSTOP_OUT::03111,AFT CAPITAL TWR,cbd_bus,CBD-bound,0.842,0.0,0.244898,196,103.8481011719729,1.2778259536079
BUSSTOP_OUT::03217,AFT STRAITS BLVD,cbd_bus,CBD-bound,4.218,3.841,0.862245,196,103.8479443674916,1.27552218897645
BUSSTOP_OUT::03151,AFT TELOK AYER ST,cbd_bus,CBD-bound,1.466,0.0,0.352041,196,103.84776234627124,1.27892124625262
BUSSTOP_OUT::03519,BAYFRONT STN EXIT A,cbd_bus,CBD-bound,6.056,7.4,0.969388,196,103.85884799997385,1.28124500000125
BUSSTOP_OUT::03509,BAYFRONT STN EXIT B/MBS,cbd_bus,CBD-bound,6.056,7.4,0.969388,196,103.86004388891767,1.28314999997332
MRTHUB::Bayfront,Bayfront,cbd_mrt,CBD-bound,6.056,7.4,0.969388,196,103.85920456548351,1.282089309786341
BUSSTOP_OUT::03529,DOWNTOWN STN,cbd_bus,CBD-bound,1.903,1.525,0.75,196,103.85278769921703,1.27939957419063
MRTHUB::Downtown,Downtown,cbd_mrt,CBD-bound,1.099,1.4,0.617347,196,103.85277105540212,1.279553222177013
BUSSTOP_OUT::03011,FULLERTON SQ,cbd_bus,CBD-bound,0.886,0.0,0.244898,196,103.85342223246427,1.28561840945474
BUSSTOP_OUT::03222,HUB SYNERGY PT,cbd_bus,CBD-bound,1.2,0.0,0.418367,196,103.84489562922414,1.27397836925637
BUSSTOP_OUT::03241,MAPLETREE ANSON,cbd_bus,CBD-bound,4.21,3.446,0.857143,196,103.84537,1.27456
BUSSTOP_OUT::03391,MARINA BAY FINANCIAL CTR,cbd_bus,CBD-bound,1.461,0.0,0.403061,196,103.85498006767988,1.28037660340352
BUSSTOP_OUT::03501,MARINA BAY SANDS THEATRE,cbd_bus,CBD-bound,4.216,3.4,0.785714,196,103.8606110538643,1.28500467671367
BUSSTOP_OUT::05269,MAXWELL RD FC,cbd_bus,CBD-bound,0.109,0.0,0.030612,196,103.844567,1.280894
MRTHUB::Marina_Bay,Marina Bay,cbd_mrt,CBD-bound,5.918,6.216,0.913265,196,103.85513069011677,1.275451160751061
BUSSTOP_OUT::03539,Marina Bay Stn,cbd_bus,CBD-bound,4.201,5.6,0.913265,196,103.85561610012866,1.2775330547661
MRTHUB::Maxwell,Maxwell,cbd_mrt,CBD-bound,0.109,0.0,0.030612,196,103.8439920594266,1.2807150714114806
BUSSTOP_OUT::05319,OCBC CTR,cbd_bus,CBD-bound,0.0,0.0,0.0,196,103.849114,1.284437
BUSSTOP_OUT::03059,ONE RAFFLES QUAY,cbd_bus,CBD-bound,0.019,0.0,0.010204,196,103.851461,1.281111
BUSSTOP_OUT::05651,OPP FUJI XEROX TWRS,cbd_bus,CBD-bound,3.76,5.098,0.704082,196,103.8430731,1.273218611
BUSSTOP_OUT::03218,OPP MAS BLDG,cbd_bus,CBD-bound,3.332,2.359,0.821429,196,103.84687388890413,1.2740788888387
BUSSTOP_OUT::03071,OPP SO SOFITEL S'PORE,cbd_bus,CBD-bound,0.837,0.0,0.244898,196,103.84940030424481,1.27990609626764
BUSSTOP_OUT::05629,OPP STH PT,cbd_bus,CBD-bound,3.455,4.346,0.627551,196,103.84187,1.273211389
BUSSTOP_OUT::03019,OUE BAYFRONT,cbd_bus,CBD-bound,1.171,0.0,0.484694,196,103.85310805599599,1.284245000013
BUSSTOP_OUT::03021,PRUDENTIAL TWR,cbd_bus,CBD-bound,1.375,0.0,0.352041,196,103.84998903789258,1.28255524603003
