origin_id,row_index,col_index,lon,lat,x_svy,y_svy,overall_mean_saving_min,overall_median_saving_min,overall_share_improved,cbd_mean_saving_min,cbd_median_saving_min,cbd_share_improved,airport_mean_saving_min,airport_median_saving_min,airport_share_improved
G_000_003,3,0,103.76955200549425,1.295445460090842,20903.338,30869.385,2.0,1.269,0.595745,2.474,1.778,0.736842,0.0,0.0,0.0
G_000_004,4,0,103.76916347526316,1.2934906797513928,20860.093,30653.237,1.989,0.0,0.425532,2.46,1.4,0.526316,0.0,0.0,0.0
G_000_005,5,0,103.7687191445071,1.291822365749625,20810.638,30468.764,2.515,0.546,0.510638,3.11,3.836,0.631579,0.0,0.0,0.0
G_001_000,0,1,103.77137288450947,1.3027962521222987,21106.006,31682.193,0.397,0.0,0.148936,0.49,0.0,0.184211,0.0,0.0,0.0
G_001_001,1,1,103.77098249612773,1.3006129149057268,21062.553,31440.772,0.715,0.0,0.212766,0.884,0.0,0.263158,0.0,0.0,0.0
G_001_002,2,1,103.77080517509184,1.2984301695026708,21042.813,31199.416,0.972,0.0,0.382979,1.202,0.0,0.473684,0.0,0.0,0.0
G_001_003,3,1,103.77072038118231,1.2961793877167151,21033.37,30950.536,1.041,0.0,0.361702,1.287,0.0,0.447368,0.0,0.0,0.0
G_001_004,4,1,103.77070908954515,1.2939264347578687,21032.107,30701.416,2.18,0.0,0.489362,2.696,2.863,0.605263,0.0,0.0,0.0
G_001_005,5,1,103.77071284949109,1.291669509263782,21032.52,30451.857,2.535,0.619,0.510638,3.135,3.909,0.631579,0.0,0.0,0.0
G_001_006,6,1,103.77119127887293,1.290308377942318,21085.761,30301.348,2.535,0.619,0.510638,3.135,3.909,0.631579,0.0,0.0,0.0
G_002_000,0,2,103.77281413006632,1.3025924044718606,21266.403,31659.649,0.008,0.0,0.021277,0.01,0.0,0.026316,0.0,0.0,0.0
G_002_001,1,2,103.77295528463698,1.300709221933349,21282.107,31451.416,0.59,0.0,0.191489,0.73,0.0,0.236842,0.0,0.0,0.0
G_002_002,2,2,103.77295533832516,1.2984483111826426,21282.107,31201.416,1.044,0.0,0.361702,1.291,0.0,0.447368,0.0,0.0,0.0
G_002_003,3,2,103.77295539191985,1.2961874003913434,21282.107,30951.416,1.044,0.0,0.361702,1.291,0.0,0.447368,0.0,0.0,0.0
G_002_004,4,2,103.77295544542106,1.2939264895595215,21282.107,30701.416,1.044,0.0,0.361702,1.291,0.0,0.447368,0.0,0.0,0.0
