origin_id,destination_id,destination_label,destination_group_raw,destination_group_major,destination_group_label,pre_time_min,post_time_min,saving_min,change_type
G_000_003,BUSSTOP_OUT::95011,AFT AIRCRAFT FLYOVER,airport_bus,Airport-bound,Airport Bus,88.272,88.272,-0.0,unchanged
G_000_003,BUSSTOP_OUT::95019,AFT CHANGI AIRPORT TER 2,airport_bus,Airport-bound,Airport Bus,76.829,76.829,-0.0,unchanged
G_000_003,BUSSTOP_OUT::95029,CHANGI AIRPORT TER 1,airport_bus,Airport-bound,Airport Bus,76.083,76.083,-0.0,unchanged
G_000_003,BUSSTOP_OUT::95109,CHANGI AIRPORT TER 3,airport_bus,Airport-bound,Airport Bus,73.102,73.102,-0.0,unchanged
G_000_003,BUSSTOP_OUT::95129,CHANGI AIRPORT TER 2,airport_bus,Airport-bound,Airport Bus,73.102,73.102,-0.0,unchanged
G_000_003,BUSSTOP_OUT::95151,AIRPORT POLICE STN,airport_bus,Airport-bound,Airport Bus,86.409,86.409,-0.0,unchanged
G_000_003,BUSSTOP_OUT::95159,NEAR SATS FLIGHT KITCHEN,airport_bus,Airport-bound,Airport Bus,79.81,79.81,-0.0,unchanged
G_000_003,BUSSTOP_OUT::95209,CHANGI AIRPORT TER 4,airport_bus,Airport-bound,Airport Bus,82.792,82.792,-0.0,unchanged
G_000_003,MRTHUB::Changi_Airport,Changi Airport,airport_mrt,Airport-bound,Airport Mrt,62.802,62.802,-0.0,unchanged
G_000_003,BUSSTOP_OUT::03011,FULLERTON SQ,cbd_bus,CBD-bound,Cbd Bus,49.015,47.423,1.592,improved
G_000_003,BUSSTOP_OUT::03019,OUE BAYFRONT,cbd_bus,CBD-bound,Cbd Bus,49.302,49.302,-0.0,unchanged
G_000_003,BUSSTOP_OUT::03021,PRUDENTIAL TWR,cbd_bus,CBD-bound,Cbd Bus,46.965,45.187,1.778,improved
G_000_003,BUSSTOP_OUT::03031,RAFFLES PL STN EXIT F,cbd_bus,CBD-bound,Cbd Bus,46.779,45.932,0.847,improved
G_000_003,BUSSTOP_OUT::03041,TELOK AYER STN EXIT A,cbd_bus,CBD-bound,Cbd Bus,46.965,45.187,1.778,improved
G_000_003,BUSSTOP_OUT::03059,ONE RAFFLES QUAY,cbd_bus,CBD-bound,Cbd Bus,49.302,49.302,-0.0,unchanged
G_000_003,BUSSTOP_OUT::03071,OPP SO SOFITEL S'PORE,cbd_bus,CBD-bound,Cbd Bus,45.661,44.814,0.847,improved
G_000_003,BUSSTOP_OUT::03111,AFT CAPITAL TWR,cbd_bus,CBD-bound,Cbd Bus,44.543,43.696,0.847,improved
G_000_003,BUSSTOP_OUT::03129,UIC BLDG,cbd_bus,CBD-bound,Cbd Bus,45.102,45.102,-0.0,unchanged
G_000_003,BUSSTOP_OUT::03151,AFT TELOK AYER ST,cbd_bus,CBD-bound,Cbd Bus,45.102,43.324,1.778,improved
G_000_003,BUSSTOP_OUT::03217,AFT STRAITS BLVD,cbd_bus,CBD-bound,Cbd Bus,45.102,41.833,3.269,improved
G_000_003,BUSSTOP_OUT::03218,OPP MAS BLDG,cbd_bus,CBD-bound,Cbd Bus,45.102,41.833,3.269,improved
G_000_003,BUSSTOP_OUT::03222,HUB SYNERGY PT,cbd_bus,CBD-bound,Cbd Bus,41.934,41.833,0.101,improved
G_000_003,BUSSTOP_OUT::03223,TANJONG PAGAR STN EXIT C,cbd_bus,CBD-bound,Cbd Bus,45.102,41.833,3.269,improved
G_000_003,BUSSTOP_OUT::03239,SHENTON WAY TER,cbd_bus,CBD-bound,Cbd Bus,45.102,41.833,3.269,improved
G_000_003,BUSSTOP_OUT::03241,MAPLETREE ANSON,cbd_bus,CBD-bound,Cbd Bus,45.102,41.833,3.269,improved
G_000_003,BUSSTOP_OUT::03381,THE SAIL,cbd_bus,CBD-bound,Cbd Bus,48.456,46.678,1.778,improved
G_000_003,BUSSTOP_OUT::03391,MARINA BAY FINANCIAL CTR,cbd_bus,CBD-bound,Cbd Bus,49.201,47.423,1.778,improved
G_000_003,BUSSTOP_OUT::03501,MARINA BAY SANDS THEATRE,cbd_bus,CBD-bound,Cbd Bus,53.301,47.033,6.268,improved
G_000_003,BUSSTOP_OUT::03509,BAYFRONT STN EXIT B/MBS,cbd_bus,CBD-bound,Cbd Bus,53.505,47.033,6.472,improved
G_000_003,BUSSTOP_OUT::03511,AFT BAYFRONT STN EXIT E,cbd_bus,CBD-bound,Cbd Bus,51.81,47.033,4.777,improved
G_000_003,BUSSTOP_OUT::03519,BAYFRONT STN EXIT A,cbd_bus,CBD-bound,Cbd Bus,53.505,47.033,6.472,improved
G_000_003,BUSSTOP_OUT::03529,DOWNTOWN STN,cbd_bus,CBD-bound,Cbd Bus,50.502,47.524,2.978,improved
G_000_003,BUSSTOP_OUT::03539,Marina Bay Stn,cbd_bus,CBD-bound,Cbd Bus,51.633,46.033,5.6,improved
