Destination group,Rank,Station name,Station type,Mean saving (min),Median saving (min),90th percentile saving (min),Maximum saving (min),"Improved origins, n (%)",Origins aggregated (N),Terminal node ID,Sink set
Airport-bound,1,AFT CHANGI AIRPORT TER 2,Bus,0.54,0.0,1.4,7.597,63 (32.1%),196,BUSSTOP_OUT::95019,airport_bus
Airport-bound,2,CHANGI AIRPORT TER 1,Bus,0.54,0.0,1.4,7.597,63 (32.1%),196,BUSSTOP_OUT::95029,airport_bus
Airport-bound,3,CHANGI AIRPORT TER 2,Bus,0.54,0.0,1.4,7.597,63 (32.1%),196,BUSSTOP_OUT::95129,airport_bus
Airport-bound,4,CHANGI AIRPORT TER 3,Bus,0.54,0.0,1.4,7.597,63 (32.1%),196,BUSSTOP_OUT::95109,airport_bus
Airport-bound,5,CHANGI AIRPORT TER 4,Bus,0.54,0.0,1.4,7.597,63 (32.1%),196,BUSSTOP_OUT::95209,airport_bus
Airport-bound,6,Changi Airport,MRT,0.54,0.0,1.4,7.597,63 (32.1%),196,MRTHUB::Changi_Airport,airport_mrt
Airport-bound,7,NEAR SATS FLIGHT KITCHEN,Bus,0.54,0.0,1.4,7.597,63 (32.1%),196,BUSSTOP_OUT::95159,airport_bus
Airport-bound,8,AFT AIRCRAFT FLYOVER,Bus,0.292,0.0,0.4,7.761,65 (33.2%),196,BUSSTOP_OUT::95011,airport_bus
Airport-bound,9,AIRPORT POLICE STN,Bus,0.292,0.0,0.4,7.761,65 (33.2%),196,BUSSTOP_OUT::95151,airport_bus
CBD-bound,1,BAYFRONT STN EXIT A,Bus,6.056,7.4,7.8,16.351,190 (96.9%),196,BUSSTOP_OUT::03519,cbd_bus
CBD-bound,2,BAYFRONT STN EXIT B/MBS,Bus,6.056,7.4,7.8,16.351,190 (96.9%),196,BUSSTOP_OUT::03509,cbd_bus
CBD-bound,3,Bayfront,MRT,6.056,7.4,7.8,16.351,190 (96.9%),196,MRTHUB::Bayfront,cbd_mrt
CBD-bound,4,Marina Bay,MRT,5.918,6.216,7.8,14.791,179 (91.3%),196,MRTHUB::Marina_Bay,cbd_mrt
CBD-bound,5,AFT STRAITS BLVD,Bus,4.218,3.842,7.8,13.673,169 (86.2%),196,BUSSTOP_OUT::03217,cbd_bus
CBD-bound,6,MARINA BAY SANDS THEATRE,Bus,4.216,3.4,7.8,15.223,154 (78.6%),196,BUSSTOP_OUT::03501,cbd_bus
CBD-bound,7,MAPLETREE ANSON,Bus,4.21,3.446,7.8,13.997,168 (85.7%),196,BUSSTOP_OUT::03241,cbd_bus
CBD-bound,8,Marina Bay Stn,Bus,4.201,5.6,5.6,13.083,179 (91.3%),196,BUSSTOP_OUT::03539,cbd_bus
CBD-bound,9,OPP FUJI XEROX TWRS,Bus,3.76,5.098,6.772,9.379,138 (70.4%),196,BUSSTOP_OUT::05651,cbd_bus
CBD-bound,10,AFT BAYFRONT STN EXIT E,Bus,3.557,2.908,7.209,13.732,150 (76.5%),196,BUSSTOP_OUT::03511,cbd_bus
CBD-bound,11,SHENTON WAY TER,Bus,3.498,2.782,7.8,10.34,165 (84.2%),196,BUSSTOP_OUT::03239,cbd_bus
CBD-bound,12,OPP STH PT,Bus,3.455,4.346,7.144,7.144,123 (62.8%),196,BUSSTOP_OUT::05629,cbd_bus
CBD-bound,13,OPP MAS BLDG,Bus,3.332,2.359,7.8,9.595,161 (82.1%),196,BUSSTOP_OUT::03218,cbd_bus
CBD-bound,14,TG PAGAR PLAZA,Bus,2.268,1.165,6.472,9.379,131 (66.8%),196,BUSSTOP_OUT::05411,cbd_bus
CBD-bound,15,TANJONG PAGAR STN EXIT C,Bus,2.154,1.4,6.298,7.8,110 (56.1%),196,BUSSTOP_OUT::03223,cbd_bus
CBD-bound,16,TELOK AYER STN EXIT A,Bus,2.13,0.74,5.446,10.733,103 (52.6%),196,BUSSTOP_OUT::03041,cbd_bus
CBD-bound,17,DOWNTOWN STN,Bus,1.903,1.525,3.109,10.1,147 (75.0%),196,BUSSTOP_OUT::03529,cbd_bus
CBD-bound,18,THE SAIL,Bus,1.564,0.0,4.955,10.733,85 (43.4%),196,BUSSTOP_OUT::03381,cbd_bus
CBD-bound,19,AFT TELOK AYER ST,Bus,1.466,0.0,5.336,6.309,69 (35.2%),196,BUSSTOP_OUT::03151,cbd_bus
CBD-bound,20,MARINA BAY FINANCIAL CTR,Bus,1.461,0.0,4.21,10.733,79 (40.3%),196,BUSSTOP_OUT::03391,cbd_bus
CBD-bound,21,PRUDENTIAL TWR,Bus,1.375,0.0,5.182,5.446,69 (35.2%),196,BUSSTOP_OUT::03021,cbd_bus
CBD-bound,22,HUB SYNERGY PT,Bus,1.2,0.0,5.156,7.008,82 (41.8%),196,BUSSTOP_OUT::03222,cbd_bus
CBD-bound,23,OUE BAYFRONT,Bus,1.171,0.0,3.019,9.216,95 (48.5%),196,BUSSTOP_OUT::03019,cbd_bus
CBD-bound,24,Downtown,MRT,1.099,1.4,1.4,9.951,121 (61.7%),196,MRTHUB::Downtown,cbd_mrt
CBD-bound,25,FULLERTON SQ,Bus,0.886,0.0,3.909,5.446,48 (24.5%),196,BUSSTOP_OUT::03011,cbd_bus
CBD-bound,26,Raffles Place,MRT,0.873,0.0,2.4,8.597,68 (34.7%),196,MRTHUB::Raffles_Place,cbd_mrt
